bvid,aid,title,pubdate_ts,pubdate,ctime_ts,duration_seconds,tid,tid_v2,category_name,view_count,danmaku_count,comment_count,favorite_count,coin_count,share_count,like_count,description,owner_mid,owner_name,creator_uids_json,creators_json,first_creator_mid,first_creator_name,first_creator_follower_count,first_creator_bio,tags_json,tags_text,target_tag_match,is_cooperation,ai_suspected,ai_score,ai_reasons_json,music_candidates_json,music_evidence_json,argue_message,cover_url,video_url,fetched_at,matched_keywords,matched_keyword_count,search_window_hit_count,discovery_sources
BV1f4EZ61EUm,116726507441539,【又一充电中】又一次新手上路-2026.06.10-纯净版,1781106461,2026-06-10T23:47:41+08:00,1781106461,12863,27,2072,,12,0,0,0,0,0,6,"又一充电中 https://space.bilibili.com/1217754423/
录播自动上传",526364731,鎏绶,[526364731],"[{""mid"":526364731,""name"":""鎏绶"",""role"":""UP主""}]",526364731,鎏绶,173,,"[""又一充电中""]",又一充电中,0,0,0,0,[],[],[],,http://i0.hdslb.com/bfs/archive/5fcee59963b10f153d88fc827d80f6f62dca2e74.jpg,https://www.bilibili.com/video/BV1f4EZ61EUm,2026-06-10T20:02:50+00:00,又一充电中,1,1,keyword_search:又一充电中
BV1wpEZ6EEYz,116726490464773,【又一】永远怀念“junni0110”😭牢又公然盗号小偶像游戏账号👿俺寻思这号也妹人要啊，是我的了😋,1781105198,2026-06-10T23:26:38+08:00,1781105198,108,27,2047,,5057,1,25,41,0,3,172,"又一充电中 https://space.bilibili.com/1217754423/
梨安不迷路 https://space.bilibili.com/1900141897/
恬豆发芽了 https://space.bilibili.com/1660392980/
沐霂是MUMU呀 https://space.bilibili.com/1878154667/
2026.06.10直播剪辑",1113769832,秩序丶安,[1113769832],"[{""mid"":1113769832,""name"":""秩序丶安"",""role"":""UP主""}]",1113769832,秩序丶安,36936,,"[""钓鱼"",""逆天"",""搞笑"",""四禧丸子"",""又一充电中"",""丸河"",""开盒"",""抽象"",""虚拟主播"",""整活""]",钓鱼|逆天|搞笑|四禧丸子|又一充电中|丸河|开盒|抽象|虚拟主播|整活,1,0,0,0,[],[],[],,http://i0.hdslb.com/bfs/archive/fefa8925c218027736fc124687284108615da48e.jpg,https://www.bilibili.com/video/BV1wpEZ6EEYz,2026-06-10T20:10:15+00:00,又一充电中,1,1,keyword_search:又一充电中
BV1txER6UE2i,116726272367602,【又一】爆了！右上角不慎露出美女ID“junni0110”💥赛完赶紧掩耳盗铃用黑块挡住ID名😅,1781101836,2026-06-10T22:30:36+08:00,1781101836,129,27,2072,,2625,1,11,14,0,1,85,"恬豆发芽了 https://space.bilibili.com/1660392980/
又一充电中 https://space.bilibili.com/1217754423/
沐霂是MUMU呀 https://space.bilibili.com/1878154667/
梨安不迷路 https://space.bilibili.com/1900141897/

又一2026年6月10日21:00场",35988650,蜘蛛侠_Official,[35988650],"[{""mid"":35988650,""name"":""蜘蛛侠_Official"",""role"":""UP主""}]",35988650,蜘蛛侠_Official,9945,,"[""虚拟偶像"",""搞笑"",""赛车"",""四禧丸子"",""又一充电中"",""丸河"",""极限竞速：地平线"",""地平线"",""虚拟主播"",""整活""]",虚拟偶像|搞笑|赛车|四禧丸子|又一充电中|丸河|极限竞速：地平线|地平线|虚拟主播|整活,1,0,0,0,[],[],[],,http://i0.hdslb.com/bfs/archive/4b9339d35ecf7e4aff3021945b038300847df9cb.jpg,https://www.bilibili.com/video/BV1txER6UE2i,2026-06-10T20:09:50+00:00,又一充电中,1,1,keyword_search:又一充电中
BV1AeER65EhA,116726255717696,【又一】爆了！又神账号id漏出来了“junni0110”😰发现爆了后欲盖弥彰拿黑块掩盖id笑嘻了🤣,1781101681,2026-06-10T22:28:01+08:00,1781101681,147,27,2047,,13662,6,93,99,6,21,305,"又一充电中 https://space.bilibili.com/1217754423/
梨安不迷路 https://space.bilibili.com/1900141897/
恬豆发芽了 https://space.bilibili.com/1660392980/
沐霂是MUMU呀 https://space.bilibili.com/1878154667/
2026.06.10直播剪辑",1113769832,秩序丶安,[1113769832],"[{""mid"":1113769832,""name"":""秩序丶安"",""role"":""UP主""}]",1113769832,秩序丶安,36936,,"[""逆天"",""钓鱼"",""搞笑"",""四禧丸子"",""又一充电中"",""丸河"",""抽象"",""开盒"",""虚拟主播"",""整活""]",逆天|钓鱼|搞笑|四禧丸子|又一充电中|丸河|抽象|开盒|虚拟主播|整活,1,0,0,0,[],[],[],,http://i0.hdslb.com/bfs/archive/2c9bc8bbbea978853362d2c0ea12a16ed57b8bd2.jpg,https://www.bilibili.com/video/BV1AeER65EhA,2026-06-10T19:49:02+00:00,又一充电中,1,1,keyword_search:又一充电中
BV13cEd6RENY,116726154926141,【又一】现在我健身都得吃蛋白粉，练起来嘎嘎猛，现在我变胖了力气也变大了😤梨安是禧运楼最强壮的人，她生来就壮💪怒喷恬豆熬完夜去健身，她太虚了！FW！,1781099853,2026-06-10T21:57:33+08:00,1781099853,156,27,2128,,1559,2,13,8,0,1,68,"恬豆发芽了 https://space.bilibili.com/1660392980/
又一充电中 https://space.bilibili.com/1217754423/
沐霂是MUMU呀 https://space.bilibili.com/1878154667/
梨安不迷路 https://space.bilibili.com/1900141897/

又一2026年6月10日21:00场",35988650,蜘蛛侠_Official,[35988650],"[{""mid"":35988650,""name"":""蜘蛛侠_Official"",""role"":""UP主""}]",35988650,蜘蛛侠_Official,9945,,"[""虚拟偶像"",""健身"",""可爱"",""搞笑"",""四禧丸子"",""恬豆"",""又一充电中"",""梨安"",""虚拟主播"",""整活""]",虚拟偶像|健身|可爱|搞笑|四禧丸子|恬豆|又一充电中|梨安|虚拟主播|整活,1,0,0,0,[],[],[],,http://i0.hdslb.com/bfs/archive/7e3065619863afd5c14ae7199d96158e2661582c.jpg,https://www.bilibili.com/video/BV13cEd6RENY,2026-06-10T19:45:41+00:00,又一充电中,1,1,keyword_search:又一充电中
BV1TuEd6JEwq,116726071034375,【又一充电中】录播(无弹幕)| 又一次新手上路-2026-06-10 21-01-31-552~,1781098778,2026-06-10T21:39:38+08:00,1781098778,11860,27,2047,,2,0,0,0,0,0,5,"四禧丸子录播
这切片，到底切多快才算快~
录播（本地1）

恬豆发芽了 https://space.bilibili.com/1660392980/
又一充电中 https://space.bilibili.com/1217754423/
沐霂是MUMU呀 https://space.bilibili.com/1878154667/
梨安不迷路 https://space.bilibili.com/1900141897/",3546873990219945,愉光Omega,[3546873990219945],"[{""mid"":3546873990219945,""name"":""愉光Omega"",""role"":""UP主""}]",3546873990219945,愉光Omega,316,,"[""虚拟偶像"",""搞笑"",""虚拟UP主"",""又一"",""四禧丸子"",""沐霂"",""恬豆"",""梨安""]",虚拟偶像|搞笑|虚拟UP主|又一|四禧丸子|沐霂|恬豆|梨安,1,0,0,0,[],[],[],,http://i1.hdslb.com/bfs/archive/8aaa005803963fcebe090002b6cea190474b94f3.jpg,https://www.bilibili.com/video/BV1TuEd6JEwq,2026-06-10T20:20:39+00:00,又一充电中,1,1,keyword_search:又一充电中
BV1eXER6cE12,116726054324890,【又一】时守星沙帮我修好了电脑，我批准她一个星期的免喷权😎不许你们再骂她了😤弹幕：免喷一天差不多得了😅,1781098410,2026-06-10T21:33:30+08:00,1781098410,130,27,2047,,4899,1,19,34,0,0,200,"又一充电中 https://space.bilibili.com/1217754423/
梨安不迷路 https://space.bilibili.com/1900141897/
恬豆发芽了 https://space.bilibili.com/1660392980/
沐霂是MUMU呀 https://space.bilibili.com/1878154667/
2026.06.10直播剪辑",1113769832,秩序丶安,[1113769832],"[{""mid"":1113769832,""name"":""秩序丶安"",""role"":""UP主""}]",1113769832,秩序丶安,36936,,"[""逆天"",""搞笑"",""时守星沙"",""四禧丸子"",""又一充电中"",""抽象"",""虚拟主播"",""懂你意思"",""整活"",""修机高手""]",逆天|搞笑|时守星沙|四禧丸子|又一充电中|抽象|虚拟主播|懂你意思|整活|修机高手,1,0,0,0,[],[],[],,http://i0.hdslb.com/bfs/archive/469489a6be69aa3515dfdacfa2ee8e1fec0d319f.jpg,https://www.bilibili.com/video/BV1eXER6cE12,2026-06-10T20:02:30+00:00,又一充电中,1,1,keyword_search:又一充电中
BV1v9ER68EtU,116726037550118,【又一】今晚申请12点下播，因为明天要早起和梨安去约会🥰她起不来我也一定要把她叫醒😄,1781098043,2026-06-10T21:27:23+08:00,1781098043,55,27,2047,,1505,0,8,10,0,0,65,"恬豆发芽了 https://space.bilibili.com/1660392980/
又一充电中 https://space.bilibili.com/1217754423/
沐霂是MUMU呀 https://space.bilibili.com/1878154667/
梨安不迷路 https://space.bilibili.com/1900141897/

又一2026年6月10日21:00场",35988650,蜘蛛侠_Official,[35988650],"[{""mid"":35988650,""name"":""蜘蛛侠_Official"",""role"":""UP主""}]",35988650,蜘蛛侠_Official,9945,,"[""约会"",""搞笑"",""虚拟偶像"",""可爱"",""四禧丸子"",""又一充电中"",""甜甜甜"",""梨安"",""虚拟主播"",""懂你意思""]",约会|搞笑|虚拟偶像|可爱|四禧丸子|又一充电中|甜甜甜|梨安|虚拟主播|懂你意思,1,0,0,0,[],[],[],,http://i2.hdslb.com/bfs/archive/71d8325f8429a78696027f3ad93c495689508373.jpg,https://www.bilibili.com/video/BV1v9ER68EtU,2026-06-10T20:10:06+00:00,又一充电中,1,1,keyword_search:又一充电中
BV1dDER6aEpG,116726004057971,【又一】申请今晚12点下播，明天要早起和梨安出去玩😋弹幕：她说不早起了👋又：我定把她叫醒👿,1781097598,2026-06-10T21:19:58+08:00,1781097598,60,27,2047,,4289,0,19,21,2,3,169,"又一充电中 https://space.bilibili.com/1217754423/
梨安不迷路 https://space.bilibili.com/1900141897/
恬豆发芽了 https://space.bilibili.com/1660392980/
沐霂是MUMU呀 https://space.bilibili.com/1878154667/
2026.06.10直播剪辑",1113769832,秩序丶安,[1113769832],"[{""mid"":1113769832,""name"":""秩序丶安"",""role"":""UP主""}]",1113769832,秩序丶安,36936,,"[""逆天"",""搞笑"",""四禧丸子"",""又一充电中"",""抽象"",""甜甜甜"",""梨安"",""虚拟主播"",""懂你意思"",""整活""]",逆天|搞笑|四禧丸子|又一充电中|抽象|甜甜甜|梨安|虚拟主播|懂你意思|整活,1,0,0,0,[],[],[],,http://i2.hdslb.com/bfs/archive/036e0ddc8a2a5158bd4a86245760a7e6a55634f4.jpg,https://www.bilibili.com/video/BV1dDER6aEpG,2026-06-10T20:02:03+00:00,又一充电中,1,1,keyword_search:又一充电中
BV1aZER6oEcn,116725987216185,梨安又一双播后的小故事,1781097357,2026-06-10T21:15:57+08:00,1781097357,11,21,2047,,255,0,1,4,0,0,20,梨安又一双播后的小故事,694541,猫舌怪,[694541],"[{""mid"":694541,""name"":""猫舌怪"",""role"":""UP主""}]",694541,猫舌怪,128,,"[""VTuber"",""又一"",""四禧丸子"",""梨安不迷路"",""又一充电中"",""小视频"",""梨安"",""注入梨能量""]",VTuber|又一|四禧丸子|梨安不迷路|又一充电中|小视频|梨安|注入梨能量,0,0,1,8,"[""平台声明: 平台或文本明确标注含AI生成内容"",""平台声明: 文本说明AI参与内容制作""]",[],[],含AI生成内容,http://i0.hdslb.com/bfs/archive/c57bc815294499a267203f5cf08bda6688df9c47.jpg,https://www.bilibili.com/video/BV1aZER6oEcn,2026-06-10T20:00:38+00:00,又一充电中,1,1,keyword_search:又一充电中
